1630991121.407,29.0
1630991121.408,3.0,4.0
1630991121.409,16.0,0.0
1630991121.41,20.0,45.0
1630991121.412,48.0,15.0
1630991121.412,7.0,56.0
1630991121.413,16.0,17.0
1630991121.414,28.0,54.0
1630991121.414,37.0,53.0
1630991121.415,7.0,49.0
1630991121.415,8.0,10.0
1630991121.416,44.0,38.0
1630991121.416,9.0,0.0
1630991121.463,42.0,2.0
1630991121.549,3.0,7.0
1630991121.779,40.0,52.0
1630991121.787,19.0,9.0
1630991122.041,10.0,33.0
1630991122.14,28.0,56.0
1630991122.377,47.0,26.0
1630991122.59,17.0,50.0
1630991122.623,29.0,49.0
1630991122.901,21.0,7.0
1630991123.172,43.0,36.0
1630991123.36,45.0,8.0
1630991123.45,44.0,37.0
1630991123.553,3.0,28.0
1630991123.799,18.0,50.0
1630991123.819,46.0,30.0
1630991123.926,22.0,46.0
1630991124.176,24.0,41.0
1630991124.426,27.0,48.0
1630991124.655,33.0,58.0
1630991124.839,35.0,13.0
1630991125.003,14.0,23.0
1630991125.04,25.0,29.0
1630991125.052,44.0,9.0
1630991125.061,17.0,35.0
1630991125.159,4.0,51.0
1630991125.36,38.0,23.0
1630991125.368,32.0,12.0
1630991125.634,16.0,57.0
1630991125.671,44.0,21.0
1630991125.966,21.0,8.0
1630991126.105,8.0,37.0
1630991126.404,44.0,24.0
1630991126.613,31.0,5.0
1630991126.687,35.0,38.0
1630991126.83,49.0,8.0
1630991127.044,10.0,37.0
1630991127.334,8.0,55.0
1630991127.506,13.0,10.0
1630991127.613,12.0,22.0
1630991127.879,32.0,52.0
1630991127.945,21.0,15.0
1630991128.059,21.0,41.0
1630991128.346,31.0,38.0
1630991128.404,16.0,50.0
1630991128.547,29.0,35.0
1630991128.654,22.0,58.0
1630991128.846,19.0,54.0
1630991128.871,39.0,20.0
1630991129.076,26.0,3.0
1630991129.284,13.0,50.0
1630991129.42,44.0,0.0
1630991129.465,16.0,34.0
1630991129.493,44.0,43.0
1630991129.633,44.0,10.0
1630991129.682,9.0,43.0
1630991129.829,35.0,37.0
1630991130.1,39.0,47.0
1630991130.386,46.0,25.0
1630991130.612,20.0,44.0
